timestamp,cpu_load_percent,ram_usage_percent,gpu_load_percent,gpu_temp_c,gpu_power_w
2026-08-16T04:43:18.736688,23,94.1,82,71,63.319
2026-08-16T04:43:19.737772,22,94.1,76,73,63.054
2026-08-16T04:43:20.739244,26.2,94.4,76,71,60.578
2026-08-16T04:43:21.740311,35.4,94.7,78,72,61.499
2026-08-16T04:43:22.741384,29.9,94.8,72,71,62.658
2026-08-16T04:43:23.742639,27.2,94.8,79,73,64.229
2026-08-16T04:43:24.743591,42.5,95.6,76,72,64.855
2026-08-16T04:43:25.745745,23,95.6,72,72,63.136
2026-08-16T04:43:26.746742,27.9,95.8,69,73,61.252
2026-08-16T04:43:27.748357,27.8,97.8,68,73,60.551
2026-08-16T04:43:28.749583,29.5,96,68,73,60.41
2026-08-16T04:43:29.751032,26.5,96.1,65,73,58.686
2026-08-16T04:43:30.752643,25,96.3,78,73,61.873
2026-08-16T04:43:31.754631,26,96.2,72,72,63.027
2026-08-16T04:43:32.755615,22.3,96.5,72,73,62.182
2026-08-16T04:43:33.756983,25.8,96.4,70,73,62.1
2026-08-16T04:43:34.758159,24.8,96.3,76,72,62.007
2026-08-16T04:43:35.759356,24.9,96.3,75,72,61.244
2026-08-16T04:43:36.760400,19.7,96.2,74,72,60.707
2026-08-16T04:43:37.761482,21.3,96.2,73,72,61.984
2026-08-16T04:43:38.763096,20.7,96.2,72,71,63.236
2026-08-16T04:43:39.764919,20.2,96.2,69,73,62.316
2026-08-16T04:43:40.766481,21.3,96.2,73,73,61.591
2026-08-16T04:43:41.767824,20.3,96.2,75,72,63.751
2026-08-16T04:43:42.771545,25.1,96.2,80,71,60.99
2026-08-16T04:43:43.774388,22.1,96.5,75,72,64.189
2026-08-16T04:43:44.775475,26.9,97.8,78,74,63.91
2026-08-16T04:43:45.776903,30.9,96.3,72,71,59.533
2026-08-16T04:43:46.778416,28.7,96.3,77,72,64.136
2026-08-16T04:43:47.780393,24.2,96.2,67,71,57.518
2026-08-16T04:43:48.781341,22.3,96.1,73,71,62
2026-08-16T04:43:49.783899,21.8,96.9,69,70,60.075
2026-08-16T04:43:50.785133,22.1,96.3,71,71,59.262
2026-08-16T04:43:51.786127,23.1,96.5,64,71,59.331
2026-08-16T04:43:52.787042,20,96.8,77,71,57.601
2026-08-16T04:43:53.788149,20.6,96.8,71,71,59.813
2026-08-16T04:43:54.789458,21.1,96.8,72,72,60.673
2026-08-16T04:43:55.791207,23.3,96.9,23,65,46.382
2026-08-16T04:43:56.792249,20.4,95.6,71,71,59.839
2026-08-16T04:43:57.794037,22.1,95.5,75,71,62.309
2026-08-16T04:43:58.795811,22.1,95.6,74,71,63.181
2026-08-16T04:43:59.797777,21.2,95.6,82,72,62.025
2026-08-16T04:44:00.799524,18.5,95.5,69,72,63.27
2026-08-16T04:44:01.800972,20.9,95.6,72,71,62.749
2026-08-16T04:44:02.802486,21.4,95.6,68,70,59.491
2026-08-16T04:44:03.803897,20.8,95.6,71,71,60.898
2026-08-16T04:44:04.805783,22.2,95.5,71,70,60.224
2026-08-16T04:44:05.806908,22.7,95.6,67,72,60.258
2026-08-16T04:44:06.808313,19.5,95.5,74,71,61.989
2026-08-16T04:44:07.809866,20.8,95.6,67,71,59.609
2026-08-16T04:44:08.811717,21.4,95.5,64,71,57.928
2026-08-16T04:44:09.813131,21.1,95.5,66,70,59.491
2026-08-16T04:44:10.814150,20.7,95.4,77,71,61.158
2026-08-16T04:44:11.815640,20.9,95.5,73,70,60.689
2026-08-16T04:44:12.817017,20.7,95.4,73,70,61.8
2026-08-16T04:44:13.817907,19.7,95.4,70,72,58.512
